dx_id,kk,ss,bb,pp,log10(period)
228,3,2,1048244,2147483647,28.0
229,3,2,1048250,2147483647,28.0
230,3,2,1048269,2147483647,28.0
231,3,2,1048281,2147483647,28.0
232,3,2,1048283,2147483647,28.0
233,3,2,1048291,2147483647,28.0
234,3,2,1048300,2147483647,28.0
235,3,2,1048312,2147483647,28.0
236,3,2,1048335,2147483647,28.0
237,3,2,1048345,2147483647,28.0
238,3,2,1048353,2147483647,28.0
239,3,2,1048366,2147483647,28.0
240,3,2,1048369,2147483647,28.0
241,3,2,1048377,2147483647,28.0
242,3,2,1048379,2147483647,28.0
243,3,2,1048383,2147483647,28.0
244,3,2,1048402,2147483647,28.0
245,3,2,1048416,2147483647,28.0
246,3,2,1048423,2147483647,28.0
247,3,2,1048447,2147483647,28.0
248,3,2,1048452,2147483647,28.0
249,3,2,1048464,2147483647,28.0
250,3,2,1048478,2147483647,28.0
251,3,2,1048483,2147483647,28.0
252,3,2,1048508,2147483647,28.0
253,3,2,1048510,2147483647,28.0
254,3,2,1048516,2147483647,28.0
255,3,2,1048518,2147483647,28.0
256,3,2,1048519,2147483647,28.0
257,3,2,1048572,2147483647,28.0
258,3,2,1048574,2147483647,28.0
259,4,1,523490,2147483647,37.3
260,4,1,523503,2147483647,37.3
261,4,1,523522,2147483647,37.3
262,4,1,523536,2147483647,37.3
263,4,1,523538,2147483647,37.3
264,4,1,523570,2147483647,37.3
265,4,1,523574,2147483647,37.3
266,4,1,523578,2147483647,37.3
267,4,1,523610,2147483647,37.3
268,4,1,523712,2147483647,37.3
269,4,1,523722,2147483647,37.3
270,4,1,523724,2147483647,37.3
271,4,1,523782,2147483647,37.3
272,4,1,523807,2147483647,37.3
273,4,1,523822,2147483647,37.3
274,4,1,523839,2147483647,37.3
275,4,1,523844,2147483647,37.3
276,4,1,523851,2147483647,37.3
277,4,1,523867,2147483647,37.3
278,4,1,523884,2147483647,37.3
279,4,1,523896,2147483647,37.3
280,4,1,523932,2147483647,37.3
281,4,1,523952,2147483647,37.3
282,4,1,523976,2147483647,37.3
283,4,1,524000,2147483647,37.3
284,4,1,524005,2147483647,37.3
285,4,1,524035,2147483647,37.3
286,4,1,524076,2147483647,37.3
287,4,1,524077,2147483647,37.3
288,4,1,524093,2147483647,37.3
289,4,1,524127,2147483647,37.3
290,4,1,524131,2147483647,37.3
291,4,1,524160,2147483647,37.3
292,4,1,524179,2147483647,37.3
293,4,1,524207,2147483647,37.3
294,4,1,524215,2147483647,37.3
295,4,1,524218,2147483647,37.3
296,4,1,524233,2147483647,37.3
297,4,1,524266,2147483647,37.3
298,4,1,1047778,2147483647,37.3
299,4,1,1047799,2147483647,37.3
300,4,1,1047823,2147483647,37.3
301,4,1,1047849,2147483647,37.3
302,4,1,1047865,2147483647,37.3
303,4,1,1047879,2147483647,37.3
304,4,1,1047880,2147483647,37.3
305,4,1,1047887,2147483647,37.3
306,4,1,1047925,2147483647,37.3
307,4,1,1047931,2147483647,37.3
308,4,1,1047947,2147483647,37.3
309,4,1,1047975,2147483647,37.3
310,4,1,1047991,2147483647,37.3
311,4,1,1048005,2147483647,37.3
312,4,1,1048011,2147483647,37.3
313,4,1,1048049,2147483647,37.3
314,4,1,1048053,2147483647,37.3
315,4,1,1048107,2147483647,37.3
316,4,1,1048109,2147483647,37.3
317,4,1,1048179,2147483647,37.3
318,4,1,1048261,2147483647,37.3
319,4,1,1048272,2147483647,37.3
320,4,1,1048274,2147483647,37.3
321,4,1,1048367,2147483647,37.3
322,4,1,1048382,2147483647,37.3
323,4,1,1048430,2147483647,37.3
324,4,1,1048436,2147483647,37.3
325,4,1,1048449,2147483647,37.3
326,4,1,1048466,2147483647,37.3
327,4,1,1048481,2147483647,37.3
328,4,1,1048504,2147483647,37.3
329,4,1,1048522,2147483647,37.3
330,4,1,1048532,2147483647,37.3
331,4,1,1048550,2147483647,37.3
332,4,1,1048561,2147483647,37.3
333,4,1,1048575,2147483647,37.3
334,4,2,523092,2147483647,37.3
335,4,2,523106,2147483647,37.3
336,4,2,523113,2147483647,37.3
337,4,2,523139,2147483647,37.3
338,4,2,523153,2147483647,37.3
339,4,2,523171,2147483647,37.3
340,4,2,523181,2147483647,37.3
341,4,2,523203,2147483647,37.3
342,4,2,523209,2147483647,37.3
343,4,2,523221,2147483647,37.3
